gene,variance
COL3A1,13.484167
CD74,13.26466
COL1A2,13.03988
KRT1,12.794541
SPARC,12.705908
TMSB4X,12.675529
KRTDAP,12.641166
VIM,12.539739
DMKN,12.521001
RPS28,12.519627
SPRR2E,12.502908
MMP1,12.483786
AQP3,12.427813
S100A7A,12.381435
LY6D,12.343346
ITGA6,12.339367
CNFN,12.309039
RPS2,12.30666
SPRR2D,12.277987
RPS11,12.276133
SPINK5,12.21167
RPL28,12.2082
HLA-C,12.204153
COL17A1,12.197535
RPL6,12.178301
PI3,12.163082
RPL29,12.144973
FTL,12.12236
PTMA,12.10574
UBC,12.100886
UBA52,12.08585
RPL18A,12.0427475
CALML5,12.036982
RPL3,12.036158
RPS15A,12.021756
RPL10,12.013781
RPS17,12.005603
RPL12,11.968337
RPS14,11.96307
NDRG1,11.946517
RPS3A,11.932516
PPIA,11.919059
RPL18,11.907298
RPS19,11.8974
RPL41,11.873199
RPS3,11.871872
LGALS1,11.870722
TGFBI,11.864467
ATP1B3,11.862937
RPL4,11.862426
