gene,variance
IGHG4,16.389613579392215
CALML5,15.854590813317317
MUCL1,14.72298359543502
IGHM,13.640858132680517
S100A9,13.523997146498909
S100A8,13.28650441834943
IGHG3,12.695721497575429
IGLC3,12.267961592241178
IGHG1,12.170237083417044
AP000769.1,12.10898918924594
IGLC2,11.874022112013222
TFF3,11.82162560942721
FN1,11.338939964495847
PHB,11.328138038021262
LASP1,11.102604156350699
S100A14,11.075153033334184
COL3A1,11.064160666009226
SCD,10.945524720082654
PERP,10.89192757830365
IGHA1,10.792218765025439
ISG15,10.728190571029065
COX7C,10.725128631238391
MZB1,10.700573100088334
GRB7,10.66459104305172
TRAF4,10.660184500252837
LLGL2,10.628554040630872
PCGF2,10.606112582537214
VMP1,10.558952102077416
CD24,10.552991495887845
KIAA0100,10.548981087084421
COL1A2,10.54790593562303
PNMT,10.514927124921012
PCSK7,10.478661387820631
MLLT6,10.452309926408425
ORMDL3,10.442227831990328
PPP1R1B,10.41176043720624
LTF,10.398458823236343
COX6C,10.393474040229536
POSTN,10.371451897254609
IGFBP2,10.364974431986447
COMP,10.363544071729018
ADAM15,10.337757669754268
LUM,10.286965485119175
IFI6,10.263254138964589
SPARC,10.251475531622619
DCN,10.235432501190402
A2M,10.233966282124987
MAP3K12,10.20210057261836
AZGP1,10.19964147206204
DDX5,10.192370310204824
