,query,symbol
0,ENSG00000004838,ZMYND10
1,ENSG00000005020,SKAP2
2,ENSG00000005243,COPZ2
3,ENSG00000006016,CRLF1
4,ENSG00000006210,CX3CL1
5,ENSG00000006712,PAF1
6,ENSG00000007264,MATK
7,ENSG00000007312,CD79B
8,ENSG00000008394,MGST1
9,ENSG00000008517,IL32
10,ENSG00000010295,IFFO1
11,ENSG00000010327,STAB1
12,ENSG00000011347,SYT7
13,ENSG00000011465,DCN
14,ENSG00000012171,SEMA3B
15,ENSG00000012660,ELOVL5
16,ENSG00000013725,CD6
17,ENSG00000014138,POLA2
18,ENSG00000017483,SLC38A5
19,ENSG00000018280,SLC11A1
20,ENSG00000019582,CD74
21,ENSG00000024422,EHD2
22,ENSG00000026025,VIM
23,ENSG00000027847,B4GALT7
24,ENSG00000028277,POU2F2
25,ENSG00000034510,TMSB10
26,ENSG00000038427,VCAN
27,ENSG00000047457,CP
28,ENSG00000048140,TSPAN17
29,ENSG00000048740,CELF2
30,ENSG00000049246,PER3
31,ENSG00000049540,ELN
32,ENSG00000051523,CYBA
33,ENSG00000054598,FOXC1
34,ENSG00000058085,LAMC2
35,ENSG00000058404,CAMK2B
36,ENSG00000059804,SLC2A3
37,ENSG00000060138,YBX3
38,ENSG00000061656,SPAG4
39,ENSG00000062282,DGAT2
40,ENSG00000063180,CA11
41,ENSG00000064205,CCN5
42,ENSG00000064687,ABCA7
43,ENSG00000065534,MYLK
44,ENSG00000065809,FAM107B
45,ENSG00000065989,PDE4A
46,ENSG00000068831,RASGRP2
47,ENSG00000069011,PITX1
48,ENSG00000069702,TGFBR3
49,ENSG00000070081,NUCB2
50,ENSG00000070404,FSTL3
51,ENSG00000070756,PABPC1
52,ENSG00000071082,RPL31
53,ENSG00000071246,VASH1
54,ENSG00000071967,CYBRD1
55,ENSG00000072163,LIMS2
56,ENSG00000072195,SPEG
57,ENSG00000072310,SREBF1
58,ENSG00000072786,STK10
59,ENSG00000072818,ACAP1
60,ENSG00000072954,TMEM38A
61,ENSG00000073350,LLGL2
62,ENSG00000074370,ATP2A3
63,ENSG00000074410,CA12
64,ENSG00000074416,MGLL
65,ENSG00000074527,NTN4
66,ENSG00000074755,ZZEF1
67,ENSG00000074800,ENO1
68,ENSG00000075618,FSCN1
69,ENSG00000076356,PLXNA2
70,ENSG00000076555,ACACB
71,ENSG00000076662,ICAM3
72,ENSG00000077238,IL4R
73,ENSG00000077942,FBLN1
74,ENSG00000077984,CST7
75,ENSG00000079337,RAPGEF3
76,ENSG00000079435,LIPE
77,ENSG00000079999,KEAP1
78,ENSG00000081059,TCF7
79,ENSG00000084207,GSTP1
80,ENSG00000084463,WBP11
81,ENSG00000084636,COL16A1
82,ENSG00000085276,MECOM
83,ENSG00000085733,CTTN
84,ENSG00000087245,MMP2
85,ENSG00000087460,GNAS
86,ENSG00000088002,SULT2B1
87,ENSG00000088367,EPB41L1
88,ENSG00000088827,SIGLEC1
89,ENSG00000088881,EBF4
90,ENSG00000089356,FXYD3
91,ENSG00000089486,CDIP1
92,ENSG00000089692,LAG3
93,ENSG00000090382,LYZ
94,ENSG00000090539,CHRD
95,ENSG00000090776,EFNB1
96,ENSG00000090924,PLEKHG2
97,ENSG00000091136,LAMB1
98,ENSG00000091592,NLRP1
99,ENSG00000091831,ESR1
100,ENSG00000091947,TMEM101
101,ENSG00000091986,CCDC80
102,ENSG00000092758,COL9A3
103,ENSG00000092969,TGFB2
104,ENSG00000095321,CRAT
105,ENSG00000095739,BAMBI
106,ENSG00000096384,HSP90AB1
107,ENSG00000099194,SCD
108,ENSG00000099282,TSPAN15
109,ENSG00000099953,MMP11
110,ENSG00000099958,DERL3
111,ENSG00000099998,GGT5
112,ENSG00000100003,SEC14L2
113,ENSG00000100033,PRODH
