gene,variance
POSTN,26.330879841484194
LUM,25.91945329710168
EPCAM,24.9178602834537
KRT7,24.58283856754375
TACSTD2,24.362806761335534
CXCL12,24.311118473318462
FOXA1,24.27580714356781
KRT8,24.146359321368024
FASN,23.63662763207823
SCD,23.590188994284727
ANKRD30A,23.587175006481342
CXCR4,23.33441432900506
MLPH,23.266711587163062
CCDC80,23.24284113343
GATA3,23.217117367794348
CEACAM6,22.865408379961202
CD9,22.32207844788625
TCIM,22.303651087040002
ZEB2,22.2587797216188
CDH1,22.22726546543969
ACTA2,22.090464998334383
PTPRC,21.804154283575585
TPD52,21.70151530191852
LYZ,21.6689864781533
S100A14,21.46485861158553
DST,21.074616832453263
FLNB,21.073345913812336
RUNX1,21.007791515281475
ENAH,20.96044102455098
DSP,20.87855381269079
CCDC6,20.65436869899247
CTTN,20.596492452893695
BASP1,20.591554235036316
ADAM9,20.584892446651544
SMS,20.56833576752542
FAM107B,20.559163907292785
SERPINA3,20.500005602326105
MMP2,20.473270413997472
PDK4,20.35289416070119
LARS,20.276910128927177
VOPP1,20.23105083878048
NARS,20.17678152633724
TMEM147,20.145382544434277
ACTG2,20.090796732999177
CD4,20.009192322964637
TENT5C,19.988443854173422
MDM2,19.830383768301118
QARS,19.8179469157377
LDHB,19.775240695032853
S100A4,19.718348354909203
