,Disease,Gene,matched_keyword
5,CDH1-related diffuse gastric and lobular breast cancer syndrome,['CDH1'],breast
71,endometrial cancer,['CDH1'],cancer
87,gastric cancer,['ERBB2'],cancer
88,gastrointestinal stromal tumor,['KIT'],tumor
93,hereditary breast carcinoma,['CDH1' 'ESR1'],breast
94,hereditary diffuse gastric adenocarcinoma,['CDH1'],carcinoma
97,hereditary thrombocytopenia and hematologic cancer predisposition syndrome,['RUNX1'],cancer
98,hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1,['RUNX1'],cancer
116,"inflammatory skin and bowel disease, neonatal, 2",['EGFR'],skin
124,lung cancer,['EGFR' 'ERBB2' 'MAP3K8'],cancer
150,ovarian cancer,['CDH1' 'ERBB2'],cancer
162,primary ciliary dyskinesia 13,['DNAAF1'],skin
166,skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome,['PDGFRB'],skin
173,testicular germ cell tumor,['KIT'],tumor
