dataset,model,params,fold,l1_mean,pearson_cell_mean,spearman_cell_mean
HER2,EffNet-3,162398,1,2.245,0.3882,0.3354
HER2,EffNet-3,162398,2,2.4943,0.4065,0.3712
HER2,EffNet-3,162398,3,2.4275,0.5217,0.4703
HER2,EffNet-3,162398,4,2.9035,0.2138,0.2738
HER2,EffNet-3,162398,5,2.1922,0.4743,0.3785
HER2,EffNet-5,315973,1,2.202,0.4333,0.3744
HER2,EffNet-5,315973,2,2.4789,0.3853,0.333
HER2,EffNet-5,315973,3,2.3903,0.5178,0.4651
HER2,EffNet-5,315973,4,2.7533,0.3119,0.1875
HER2,EffNet-5,315973,5,2.0205,0.47,0.3744
HER2,EffNet-10,607650,1,2.1689,0.4345,0.3727
HER2,EffNet-10,607650,2,2.4479,0.3947,0.3378
HER2,EffNet-10,607650,3,2.4134,0.3752,0.2431
HER2,EffNet-10,607650,4,2.7296,0.4194,0.3724
HER2,EffNet-10,607650,5,1.9897,0.4739,0.3742
HER2,EffNet-20,1195923,1,2.169,0.4201,0.3541
HER2,EffNet-20,1195923,2,2.3921,0.3912,0.329
HER2,EffNet-20,1195923,3,2.4102,0.5126,0.4575
HER2,EffNet-20,1195923,4,2.6796,0.4819,0.4523
HER2,EffNet-20,1195923,5,1.8044,0.447,0.332
HER2,EffNet-100,6123917,1,2.1426,0.4244,0.3564
HER2,EffNet-100,6123917,2,2.4461,0.4016,0.3492
HER2,EffNet-100,6123917,3,2.3619,0.5163,0.4527
HER2,EffNet-100,6123917,4,2.5455,0.5097,0.4601
HER2,EffNet-100,6123917,5,1.8875,0.4639,0.3513
Hist2st,EffNet-3,186998,1,2.0563,0.5145,0.4462
Hist2st,EffNet-3,186998,2,2.0282,0.5608,0.4918
Hist2st,EffNet-3,186998,3,1.9803,0.593,0.5041
Hist2st,EffNet-3,186998,4,2.0013,0.5623,0.4821
Hist2st,EffNet-3,186998,5,1.9073,0.5621,0.4819
Hist2st,EffNet-5,300552,1,2.0506,0.5203,0.4533
Hist2st,EffNet-5,300552,2,2.0067,0.5594,0.4903
Hist2st,EffNet-5,300552,3,1.982,0.584,0.5025
Hist2st,EffNet-5,300552,4,2.0044,0.5717,0.4906
Hist2st,EffNet-5,300552,5,1.8909,0.5608,0.4798
Hist2st,EffNet-10,601548,1,2.0077,0.5252,0.4527
Hist2st,EffNet-10,601548,2,2.0174,0.5458,0.4772
Hist2st,EffNet-10,601548,3,1.9692,0.5805,0.4943
Hist2st,EffNet-10,601548,4,1.9993,0.567,0.4851
Hist2st,EffNet-10,601548,5,1.8875,0.5551,0.4752
Hist2st,EffNet-20,121115,1,2.0141,0.5212,0.4511
Hist2st,EffNet-20,121115,2,2.0015,0.5477,0.477
Hist2st,EffNet-20,121115,3,1.972,0.5532,0.4464
Hist2st,EffNet-20,121115,4,1.9796,0.5633,0.4807
Hist2st,EffNet-20,121115,5,1.8702,0.5483,0.4666
Hist2st,EffNet-100,6185417,1,2.0218,0.5133,0.4433
Hist2st,EffNet-100,6185417,2,2.0149,0.5412,0.472
Hist2st,EffNet-100,6185417,3,1.9673,0.5605,0.4835
Hist2st,EffNet-100,6185417,4,2.005,0.551,0.4494
Hist2st,EffNet-100,6185417,5,1.841,0.5436,0.4627
10x,EffNet-3,180324,1,1.0354,0.6552,0.5047
10x,EffNet-3,180324,2,1.0308,0.6587,0.5099
10x,EffNet-3,180324,3,1.0091,0.6641,0.5183
10x,EffNet-3,180324,4,1.0185,0.6601,0.5112
10x,EffNet-3,180324,5,1.037,0.6554,0.5065
10x,EffNet-5,298907,1,1.0091,0.661,0.5175
10x,EffNet-5,298907,2,1.0222,0.6598,0.5138
10x,EffNet-5,298907,3,1.0151,0.6611,0.5143
10x,EffNet-5,298907,4,1.0175,0.6591,0.511
10x,EffNet-5,298907,5,1.0083,0.6622,0.5177
10x,EffNet-10,578320,1,1.002,0.6614,0.5242
10x,EffNet-10,578320,2,1.0061,0.6625,0.5229
10x,EffNet-10,578320,3,1.0085,0.6622,0.5183
10x,EffNet-10,578320,4,1.0076,0.6613,0.5177
10x,EffNet-10,578320,5,1.0074,0.6605,0.5177
10x,EffNet-20,1126981,1,1.0155,0.6547,0.5206
10x,EffNet-20,1126981,2,1.0186,0.6561,0.5206
10x,EffNet-20,1126981,3,1.0163,0.6562,0.5185
10x,EffNet-20,1126981,4,1.013,0.6542,0.5146
10x,EffNet-20,1126981,5,1.0144,0.6562,0.5189
10x,EffNet-100,5873817,1,0.9776,0.6687,0.5262
10x,EffNet-100,5873817,2,0.9724,0.6706,0.5265
10x,EffNet-100,5873817,3,0.9695,0.6705,0.5291
10x,EffNet-100,5873817,4,0.9649,0.6703,0.5274
10x,EffNet-100,5873817,5,0.9752,0.6699,0.5266
